
2025/03/09 (21:00:48) | ===> btop++ v.1.4.0
2025/03/09 (21:00:48) | WARNING: Failed to join _runner thread on exit!

2025/03/10 (16:09:41) | ===> btop++ v.1.4.0
2025/03/10 (16:09:41) | WARNING: Failed to join _runner thread on exit!

2025/03/10 (21:21:00) | ===> btop++ v.1.4.0
2025/03/10 (21:21:00) | WARNING: Failed to join _runner thread on exit!

2025/03/10 (23:09:53) | ===> btop++ v.1.4.0
2025/03/10 (23:09:53) | WARNING: Failed to join _runner thread on exit!

2025/03/10 (23:38:49) | ===> btop++ v.1.4.0
2025/03/10 (23:38:49) | WARNING: Failed to join _runner thread on exit!

2025/03/11 (03:26:28) | ===> btop++ v.1.4.0
2025/03/11 (03:26:28) | WARNING: Failed to join _runner thread on exit!

2025/03/11 (03:26:41) | ===> btop++ v.1.4.0
2025/03/11 (03:26:41) | WARNING: Failed to join _runner thread on exit!

2025/03/11 (04:10:46) | ===> btop++ v.1.4.0
2025/03/11 (04:10:46) | WARNING: Failed to join _runner thread on exit!

2025/03/11 (11:44:20) | ===> btop++ v.1.4.0
2025/03/11 (11:44:20) | WARNING: Failed to join _runner thread on exit!

2025/03/11 (11:52:01) | ===> btop++ v.1.4.0
2025/03/11 (11:52:01) | WARNING: Failed to join _runner thread on exit!

2025/03/11 (21:24:29) | ===> btop++ v.1.4.0
2025/03/11 (21:24:29) | WARNING: Failed to join _runner thread on exit!

2025/03/11 (22:56:44) | ===> btop++ v.1.4.0
2025/03/11 (22:56:44) | WARNING: Failed to join _runner thread on exit!

2025/03/12 (00:07:28) | ===> btop++ v.1.4.0
2025/03/12 (00:07:28) | WARNING: Failed to join _runner thread on exit!

2025/03/12 (00:16:47) | ===> btop++ v.1.4.0
2025/03/12 (00:16:47) | WARNING: Failed to join _runner thread on exit!

2025/03/12 (23:25:11) | ===> btop++ v.1.4.0
2025/03/12 (23:25:11) | WARNING: Failed to join _runner thread on exit!

2025/03/13 (13:33:50) | ===> btop++ v.1.4.0
2025/03/13 (13:33:50) | WARNING: Failed to join _runner thread on exit!

2025/03/13 (15:00:23) | ===> btop++ v.1.4.0
2025/03/13 (15:00:23) | WARNING: Failed to join _runner thread on exit!

2025/03/13 (15:04:52) | ===> btop++ v.1.4.0
2025/03/13 (15:04:52) | WARNING: Failed to join _runner thread on exit!

2025/03/13 (16:10:23) | ===> btop++ v.1.4.0
2025/03/13 (16:10:23) | WARNING: Failed to join _runner thread on exit!

2025/03/13 (18:58:00) | ===> btop++ v.1.4.0
2025/03/13 (18:58:00) | WARNING: Failed to join _runner thread on exit!

2025/03/13 (18:58:05) | ===> btop++ v.1.4.0
2025/03/13 (18:58:05) | WARNING: Failed to join _runner thread on exit!

2025/03/13 (18:58:19) | ===> btop++ v.1.4.0
2025/03/13 (18:58:19) | WARNING: Failed to join _runner thread on exit!

2025/03/13 (18:58:23) | ===> btop++ v.1.4.0
2025/03/13 (18:58:23) | WARNING: Failed to join _runner thread on exit!

2025/03/13 (18:58:38) | ===> btop++ v.1.4.0
2025/03/13 (18:58:38) | WARNING: Failed to join _runner thread on exit!

2025/03/14 (00:03:07) | ===> btop++ v.1.4.0
2025/03/14 (00:03:07) | WARNING: Failed to join _runner thread on exit!

2025/03/14 (01:42:41) | ===> btop++ v.1.4.0
2025/03/14 (01:42:41) | WARNING: Failed to join _runner thread on exit!

2025/03/15 (02:11:27) | ===> btop++ v.1.4.0
2025/03/15 (02:11:27) | WARNING: Failed to join _runner thread on exit!

2025/03/22 (12:29:44) | ===> btop++ v.1.4.0
2025/03/22 (12:29:44) | WARNING: Failed to join _runner thread on exit!

2025/03/23 (02:12:15) | ===> btop++ v.1.4.0
2025/03/23 (02:12:15) | WARNING: Failed to join _runner thread on exit!

2025/03/23 (02:46:36) | ===> btop++ v.1.4.0
2025/03/23 (02:46:36) | WARNING: Failed to join _runner thread on exit!

2025/03/23 (02:46:41) | ===> btop++ v.1.4.0
2025/03/23 (02:46:41) | WARNING: Failed to join _runner thread on exit!

2025/03/29 (20:34:04) | ===> btop++ v.1.4.0
2025/03/29 (20:34:04) | WARNING: Failed to join _runner thread on exit!

2025/03/30 (00:23:40) | ===> btop++ v.1.4.0
2025/03/30 (00:23:40) | WARNING: Failed to join _runner thread on exit!

2025/03/30 (00:52:24) | ===> btop++ v.1.4.0
2025/03/30 (00:52:24) | WARNING: Failed to join _runner thread on exit!

2025/04/02 (03:12:09) | ===> btop++ v.1.4.0
2025/04/02 (03:12:09) | WARNING: Failed to join _runner thread on exit!

2025/04/15 (01:54:17) | ===> btop++ v.1.4.0
2025/04/15 (01:54:17) | WARNING: Failed to join _runner thread on exit!

2025/04/15 (02:21:05) | ===> btop++ v.1.4.0
2025/04/15 (02:21:05) | WARNING: Failed to join _runner thread on exit!

2025/04/15 (10:53:23) | ===> btop++ v.1.4.0
2025/04/15 (10:53:23) | WARNING: Failed to join _runner thread on exit!

2025/04/15 (13:22:41) | ===> btop++ v.1.4.0
2025/04/15 (13:22:41) | WARNING: Failed to join _runner thread on exit!

2025/04/15 (16:20:22) | ===> btop++ v.1.4.0
2025/04/15 (16:20:22) | WARNING: Failed to join _runner thread on exit!
